name,price,gtin,url
Boombastic Marshmallow Çikolatalı Kek Bar 40 Gr,"10,00 ₺",8699141059699,https://www.gurmar.com.tr/boombastic-marshmallow-cikolatal%C4%B1-kek-bar-40-gr
Can Kardeşler Kuruyemiş Dut Kurusu Kg,"399,00 ₺",2716177000009,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-dut-kurusu-kg
Biskrem Extra Kakaolu 230 Gr,"25,00 ₺",8690504115304,https://www.gurmar.com.tr/biskrem-extra-kakaolu-230-gr
Can Kardeşler Kuruyemiş Ballı Fıstık 240 Gr,"48,00 ₺",8680440372510,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-ball%C4%B1-f%C4%B1st%C4%B1k-240-gr
Can Kardeşler Kuruyemiş Duble Beyaz Nohut KG,"168,00 ₺",2716137000001,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-duble-beyaz-nohut-kg
Can Kardeşler Kuruyemiş Çiğ Fındık Kg,"460,00 ₺",2716167000002,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-ci%C4%9F-f%C4%B1nd%C4%B1k-kg
Can Kardeşler Kuruyemiş Çiğ Amerikan Badem Kg,"469,00 ₺",2716168000001,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-ci%C4%9F-amerikan-badem-kg
Can Kardeşler Kuruyemiş Duble Antep Fıstığı Kg,"774,00 ₺",2716129000002,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-duble-antep-f%C4%B1st%C4%B1%C4%9F%C4%B1-kg-
Can Kardeşler Kuruyemiş Antep Fıstıklı Cezerye 600 GR,"202,00 ₺",8680440373074,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-antep-f%C4%B1st%C4%B1kl%C4%B1-cezerye-600-gr
Can Kardeşler Kuruyemiş Ağın Leblebisi 300 GR,"63,00 ₺",8680440374309,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-a%C4%9F%C4%B1n-leblebisi-300-gr
Can Kardeşler Kuruyemiş Antep Fıstığı Kg,"774,00 ₺",2716127000004,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-antep-f%C4%B1st%C4%B1%C4%9F%C4%B1-kg
Can Kardeşler Hanım Kabağı 328 Gr,"105,00 ₺",8680440374286,https://www.gurmar.com.tr/can-karde%C5%9Fler-han%C4%B1m-kaba%C4%9F%C4%B1-328-gr
Can Kardeşler Kahveli Draje 90 Gr,"32,00 ₺",8680440370042,https://www.gurmar.com.tr/can-karde%C5%9Fler-kahveli-draje-90-gr
Can Kardeşler Kuruyemiş Çiğ Kaju Kg,"500,00 ₺",2714998000000,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-ci%C4%9F-kaju-kg
Can Kardeşler Goji Berry&Chia&Gün Kurusu Yulaf Bar 35GR,"19,00 ₺",8680440375580,https://www.gurmar.com.tr/can-karde%C5%9Fler-goji-berry-chia-gun-kurusu-yulaf-bar-35gr
Can Kardeşler Kavrulmuş İç Karışık Kuruyemiş Kg,"512,00 ₺",2716153000009,https://www.gurmar.com.tr/can-karde%C5%9Fler-kavrulmu%C5%9F-ic-kar%C4%B1%C5%9F%C4%B1k-kuruyemi%C5%9F-kg
Can Kardeşler Festival Kuruyemiş Kg,"378,00 ₺",2726327000001,https://www.gurmar.com.tr/can-karde%C5%9Fler-festival-kuruyemi%C5%9F-kg
Can Kardeşler Draje Aşkı 250 Gr,"84,00 ₺",8680440370967,https://www.gurmar.com.tr/can-karde%C5%9Fler-draje-a%C5%9Fk%C4%B1-250-gr
Can Kardeşler Çiğ İç Karışık Kuruyemiş Kg,"524,00 ₺",2721090000005,https://www.gurmar.com.tr/can-karde%C5%9Fler-ci%C4%9F-ic-kar%C4%B1%C5%9F%C4%B1k-kuruyemi%C5%9F-kg-
Can Kardeşler Ceviz İçi (KG),"386,00 ₺",2716145000000,https://www.gurmar.com.tr/can-karde%C5%9Fler-ceviz-ici-kg
Can Kardeşler Kelebek Ceviz İçi (KG),"462,00 ₺",2716146000009,https://www.gurmar.com.tr/can-karde%C5%9Fler-kelebek-ceviz-ici-(kg)
Bubblicious Karışık Meyve Aromalı Şekerli Balonlu Sakız 38 Gr,"13,00 ₺",7622210479525,https://www.gurmar.com.tr/bubblicious-kar%C4%B1%C5%9F%C4%B1k-meyve-aromal%C4%B1-%C5%9Fekerli-balonlu-sak%C4%B1z-38-gr
